Dataset,Noise_Level,Source,Epoch,Train_Loss,Valid_ROC,Test_ROC,Best_Valid_ROC,Best_Test_ROC,Periodic_Checkpoint,Best_Checkpoint
27_mnist,0.2,1,19,1.7976156994700432,0.9626436781609196,0.9821040774656803,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,20,1.5341084599494934,0.9622953674677812,0.9809679314676734,0.9626436781609196,0.9846100909241411,checkpoints\27_mnist\noise_0.2\source_1\epoch_020.pt,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,21,1.3317074924707413,0.9621212121212122,0.9788027618086146,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,22,1.1495198607444763,0.9615116684082201,0.9767122531722819,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,23,0.9966725260019302,0.96055381400209,0.9734369065665992,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,24,0.8475942835211754,0.9587251828631139,0.9733979529895247,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,25,0.7236320078372955,0.9581156391501219,0.9705153882860101,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,26,0.6137926373630762,0.9568094740508534,0.9668732288295423,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,27,0.5352576896548271,0.9560257749912923,0.9660584498424003,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,28,0.4712583851069212,0.955503308951585,0.9624325210430469,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,29,0.40179303381592035,0.9547196098920236,0.9617346027871284,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,30,0.3502878984436393,0.9541100661790317,0.9591409437802498,0.9626436781609196,0.9846100909241411,checkpoints\27_mnist\noise_0.2\source_1\epoch_030.pt,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,31,0.3099138392135501,0.9533263671194706,0.955683813814886,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
27_mnist,0.2,1,32,0.2847591796889901,0.9523685127133403,0.956712837475938,0.9626436781609196,0.9846100909241411,,checkpoints\27_mnist\noise_0.2\source_1\best_checkpoint.pt
