Dataset,Noise_Level,Source,Epoch,Train_Loss,Valid_ROC,Test_ROC,Best_Valid_ROC,Best_Test_ROC,Periodic_Checkpoint,Best_Checkpoint
imdb,0.2,1,14,4.966336861252785,0.7317421072651198,0.6418010434892262,0.7317421072651198,0.6418010434892262,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,15,4.6739669889211655,0.7874667173830354,0.6793871471130657,0.7874667173830354,0.6793871471130657,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,16,4.270646795630455,0.8317801445416508,0.7183170189625006,0.8317801445416508,0.7183170189625006,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,17,3.876279279589653,0.855933815138836,0.7428398039122965,0.855933815138836,0.7428398039122965,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,18,3.4300975427031517,0.8962533282616965,0.7738331678252235,0.8962533282616965,0.7738331678252235,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,19,2.9536557383835316,0.9138455686572842,0.7855645402815215,0.9138455686572842,0.7855645402815215,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,20,2.5499905198812485,0.9401863826550019,0.8039241184722813,0.9401863826550019,0.8039241184722813,checkpoints\imdb\noise_0.2\source_1\epoch_020.pt,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,21,2.1777255684137344,0.9379992392544694,0.7989746378524928,0.9401863826550019,0.8039241184722813,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,22,1.8064164109528065,0.9544503613541271,0.8153954067558834,0.9544503613541271,0.8153954067558834,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,23,1.5500498358160257,0.9590148345378471,0.8238560237070663,0.9590148345378471,0.8238560237070663,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,24,1.2712505161762238,0.9632940281475846,0.8294635960971611,0.9632940281475846,0.8294635960971611,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,25,1.048643508926034,0.9558767592240396,0.8128694377453066,0.9632940281475846,0.8294635960971611,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,26,0.8841113885864615,0.9625332826169646,0.8260115698050156,0.9632940281475846,0.8294635960971611,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,27,0.7329952009022236,0.9617725370863446,0.8186385775760154,0.9632940281475846,0.8294635960971611,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,28,0.6025923630222678,0.9647204260174972,0.8231467032360777,0.9647204260174972,0.8231467032360777,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,29,0.5151463551446795,0.9655762647394446,0.8234225500859066,0.9655762647394446,0.8234225500859066,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,30,0.43903823010623455,0.9612970711297071,0.8089642344855851,0.9655762647394446,0.8234225500859066,checkpoints\imdb\noise_0.2\source_1\epoch_030.pt,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,31,0.3681156914681196,0.9649106124001522,0.8198720070616794,0.9655762647394446,0.8234225500859066,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,32,0.3167840326204896,0.9637694941042221,0.8151392632524708,0.9655762647394446,0.8234225500859066,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
imdb,0.2,1,33,0.2744780541397631,0.9631989349562571,0.8105129175139106,0.9655762647394446,0.8234225500859066,,checkpoints\imdb\noise_0.2\source_1\best_checkpoint.pt
